Hebrew	English
אילת 311	Eilat 311
אשדוד 266	Ashdod 266
אשדוד 267	Ashdod 267
אשדוד 268	Ashdod 268
אשדוד 271	Ashdod 271
אשדוד 272	Ashdod 272
אשדוד 273	Ashdod 273
אשדוד 275   	Ashdod 275
אשדוד 276	Ashdod 276
אשדוד 278	Ashdod 278
אשדוד 280	Ashdod 280
אשדוד 281	Ashdod 281
אשדוד 282	Ashdod 282
אשקלון 234	Ashdod 234
אשקלון 238	Ashdod 238
אשקלון 245	Ashkelon 245
אשקלון 246	Ashkelon 246
אשקלון 247	Ashkelon 247
אשקלון 248	Ashkelon 248
אשקלון 249	Ashkelon 249
אשקלון 250	Ashkelon 250
אשקלון 251	Ashkelon 251
אשקלון 252	Ashkelon 252
אשקלון 253	Ashkelon 253
אשקלון 254	Ashkelon 254
אשקלון 255	Ashkelon 255
אשקלון 256	Ashkelon 256
אשקלון 257	Ashkelon 257
באר שבע 285	Be’er Sheva 285
באר שבע 286	Be’er Sheva 286
באר שבע 288	Be’er Sheva 288
באר שבע 289	Be’er Sheva 289
באר שבע 291	Be'er Sheva 291
באר שבע 292	Be'er Sheva 292
בית שמש 188	Beit Shemesh 188
בית שמש 189	Beit Shemesh 189
בית שמש 190	Beit Shemesh 190
בית שמש 191	Beit Shemesh 191
בקעה 130	Valley 130
בקעה 131	Valley 131
בקעה 132	Valley 132
בקעה 133	Valley 133
בקעת בית שאן 128	Beit She'an Valley 128
גולן 1	Golan 1
גולן 2	Golan 2
גולן 3	Golan 3
גליל עליון 35	HaGalil HaElyon 35
גליל עליון 37	HaGalil HaElyon 37
גליל עליון 38	HaGalil HaElyon 38
גליל עליון 40	HaGalil HaElyon 40
גליל עליון 41	HaGalil HaElyon 41
גליל עליון 42	HaGalil HaElyon 42
גליל עליון 43	HaGalil HaElyon 43
גליל עליון 44	HaGalil HaElyon 44
גליל עליון 46	HaGalil HaElyon 46
גליל עליון 47	HaGalil HaElyon 47
גליל עליון 49	HaGalil HaElyon 49
גליל עליון 50	HaGalil HaElyon 50
גליל תחתון 55	Lower Galilee 55
גליל תחתון 56	Lower Galilee 56
גליל תחתון 57	Lower Galilee 57
גליל תחתון 60	Lower Galilee 60
גליל תחתון 61	Lower Galilee 61
גליל תחתון 63	Lower Galilee 63
דן 155	Dan 155
דן 157	Dan 157
דן 160	Dan 160
דן 161	Dan 161
דן 162	Dan 162
הקריות 70	Krayot 70
הקריות 71	Krayot 71
חיפה 75	Haifa 75
חיפה 78	Haifa 78
יהודה 188	Yehuda 188
יהודה 200	Yehuda 200
יהודה 206	Yehuda 206
יהודה 207	Yehuda 207
ים המלח 207	Dead Sea 207
ים המלח 210	Dead Sea 210
ירושלים 194	Jerusalem 194
כרמל 80	Carmel 80
כרמל 81	Carmel 81
כרמל 82	Carmel 82
מנשה 102	Menashe 102
מנשה 103	Menashe 103
מנשה 104	Menashe 104
מנשה 105	Menashe 105
מנשה 106	Menashe 106
מנשה 107	Menashe 107
מנשה 108	Menashe 108
מעלה אדומים 200	Ma'ale Edumim 200
נגב 287	Negev 287
נגב 296	Negev 296
נגב 297	Negev 297
נגב 299	Negev 299
נגב 300	Negev 300
נגב 301	Negev 301
נגב 302	Negev 302
נגב 305	Negev 305
עוטף עזה 217	Gaza Envelope 217
עוטף עזה 218	Gaza Envelope 218
עוטף עזה 219	Gaza Envelope 219
עוטף עזה 220	Gaza Envelope 220
עוטף עזה 221	Gaza Envelope 221
עוטף עזה 222	Gaza Envelope 222
עוטף עזה 223	Gaza Envelope 223
עוטף עזה 224	Gaza Envelope 224
עוטף עזה 225	Gaza Envelope 225
עוטף עזה 227	Gaza Envelope 227
עוטף עזה 228	Gaza Envelope 228
עוטף עזה 230	Gaza Envelope 230
עוטף עזה 231	Gaza Envelope 231
עוטף עזה 232	Gaza Envelope 232
עוטף עזה 233	Gaza Envelope 233
עוטף עזה 234	Gaza Envelope 234
עוטף עזה 236	Gaza Envelope 236
עוטף עזה 237	Gaza Envelope 237
עוטף עזה 238	Gaza Envelope 238
עוטף עזה 251	Gaza Envelope 251
עירון 112	Eron 112
עירון 113	Eron 113
עמק חפר 137	Emek Hefer 137
עמק חפר 139	Emek Hefer 139
עמק חפר 149	Emek Hefer 149
עמק חפר 150	Emek Hefer 150
עמק יזרעאל 86	Emek Israel 86
עמק יזרעאל 87	Emek Israel 87
עמק יזרעאל 89	Emek Israel 89
עמק יזרעאל 90	Emek Israel 90
עמק יזרעאל 93	Emek Israel 93
ערבה 308	Arava 308
ערבה 310	Arava 310
קו העימות 14	Frontline 14
קו העימות 15	Frontline 15
קו העימות 16	Frontline 16
קו העימות 17	Frontline 17
קו העימות 19	Frontline 19
קו העימות 20	Frontline 20
קו העימות 22	Frontline 22
קו העימות 23	Frontline 23
קו העימות 24	Frontline 24
קו העימות 25	Frontline 25
קו העימות 26	Frontline 26
קו העימות 28	Frontline 28
קו העימות 29	Frontline 29
קו העימות 30	Frontline 30
קו העימות 31	Frontline 31
קו העימות 32	Frontline 32
קצרין 10	Katzrin 10
קצרין 7	Katzrin 7
שומרון 118	Shomron 118
שומרון 119	Shomron 119
שומרון 120	Shomron 120
שומרון 121	Shomron 121
שומרון 122	Shomron 122
שומרון 123	Shomron 123
שומרון 124	Shomron 124
שומרון 125	Shomron 125
שומרון 126	Shomron 126
שומרון 127	Shomron 127
שפלה 168	Shfela 168
שפלה 169	Shfela 169
שפלה 170	Shfela 170
שפלה 171	Shfela 171
שפלה 172	Shfela 172
שפלה 173	Shfela 173
שפלה 174	Shfela 174
שפלה 175	Shfela 175
שפלה 178	Shfela 178
שפלה 179	Shfela 179
שפלה 181	Shfela 181
שפלה 182	Shfela 182
שפלה 183	Shfela 183
שפלה 184	Shfela 184
שרון 137	Sharon 137
שרון 138	Sharon 138
שרון 140	Sharon 140
שרון 141	Sharon 141
שרון 142	Sharon 142
שרון 143	Sharon 143
תבור 95	Tabor 95
תבור 96	Tabor 96
תבור 98	Tabor 98